Judges 9:22-57,,,,,
Judges 10,,,,,
Judges 11,,,,,
Judges 12,,,,,
Judges 13,,,,,
Judges 14,,,,,
Judges 15,,,,,
Judges 16,,,,,
Judges 17,,,,,
Judges 18,,,,,
Judges 19,,,,,
Judges 20:1-25,,,,,
Judges 20:26-48,,,,,
Judges 21,,,,,
Ruth 1,,,,,
Ruth 2,,,,,
Ruth 3,,,,,
Ruth 4,,,,,
1 Samuel 1,,,,,
1 Samuel 2,,,,,
1 Samuel 3,,,,,
1 Samuel 4,,,,,
1 Samuel 5,,,,,
1 Samuel 6,,,,,
1 Samuel 7,,,,,
1 Samuel 8,,,,,
1 Samuel 9,,,,,
1 Samuel 10,,,,,
1 Samuel 11,,,,,
1 Samuel 12,,,,,
1 Samuel 13,,,,,
1 Samuel 14:1-23,,,,,
1 Samuel 14:24-52,,,,,
1 Samuel 15,,,,,
1 Samuel 16,,,,,
1 Samuel 17:1-30,,,,,
1 Samuel 17:31-58,,,,,
1 Samuel 18,,,,,
1 Samuel 19,,,,,
1 Samuel 20,,,,,
1 Samuel 21,,,,,
1 Samuel 22,,,,,
1 Samuel 23,,,,,
1 Samuel 24,,,,,
1 Samuel 25:1-22,,,,,
1 Samuel 25:23-44,,,,,
1 Samuel 26,,,,,
1 Samuel 27,,,,,
1 Samuel 28,,,,,
1 Samuel 29,,,,,
1 Samuel 30,,,,,
1 Samuel 31,,,,,
2 Samuel 1,,,,,
2 Samuel 2,,,,,
2 Samuel 3,,,,,
2 Samuel 4,,,,,
2 Samuel 5,,,,,
2 Samuel 6,,,,,
2 Samuel 7,,,,,
2 Samuel 8,,,,,
2 Samuel 9,,,,,
2 Samuel 10,,,,,
2 Samuel 11,,,,,
2 Samuel 12,,,,,
2 Samuel 13,,,,,
2 Samuel 14,,,,,
2 Samuel 15,,,,,
2 Samuel 16,,,,,
2 Samuel 17,,,,,
2 Samuel 18,,,,,
2 Samuel 19:1-23,,,,,
2 Samuel 19:24-43,,,,,
2 Samuel 20,,,,,
2 Samuel 21,,,,,
2 Samuel 22,,,,,
2 Samuel 23,,,,,
2 Samuel 24,,,,,
1 Kings 1:1-27,,,,,
1 Kings 1:28-53,,,,,
